# z(m), vz(m/s), Iu
5.000000000000000000e+00,2.703751387832488007e+01,1.518877998745918889e-01
1.000000000000000000e+01,2.999999999999993250e+01,1.370178171331956352e-01
1.500000000000000000e+01,3.188122083470404533e+01,1.291780101130345082e-01
2.000000000000000000e+01,3.328708416203524934e+01,1.217506599976857090e-01
2.500000000000000000e+01,3.442011016688959302e+01,1.207145095758460074e-01
3.000000000000000000e+01,3.537442937044116320e+01,1.157292926307198350e-01
3.500000000000000000e+01,3.620190808367658519e+01,1.176772550888387503e-01
4.000000000000000000e+01,3.693433240034752885e+01,1.124185186938889552e-01
4.500000000000000000e+01,3.759266648868908334e+01,1.085461623591040259e-01
5.000000000000000000e+01,3.819150346639270310e+01,1.081404489258900870e-01
5.500000000000000000e+01,3.874143098591720502e+01,1.060790352871088665e-01
6.000000000000000000e+01,3.925038692126150863e+01,1.009853868760770546e-01
5.000000000000000000e+00,2.703751387832496533e+01,1.575029691290470435e-01
1.000000000000000000e+01,2.999999999999992895e+01,1.390104796967862322e-01
1.500000000000000000e+01,3.188122083470404888e+01,1.309371963949798878e-01
2.000000000000000000e+01,3.328708416203522802e+01,1.221813280950791170e-01
2.500000000000000000e+01,3.442011016688969960e+01,1.171037282775888033e-01
3.000000000000000000e+01,3.537442937044096425e+01,1.162056391759656443e-01
3.500000000000000000e+01,3.620190808367688362e+01,1.124346371777795867e-01
4.000000000000000000e+01,3.693433240034740095e+01,1.098462455569161750e-01
4.500000000000000000e+01,3.759266648868919702e+01,1.105884005212484505e-01
5.000000000000000000e+01,3.819150346639288784e+01,1.086631767125008363e-01
5.500000000000000000e+01,3.874143098591709844e+01,1.070237119184415386e-01
6.000000000000000000e+01,3.925038692126145179e+01,1.041257210189364263e-01
5.000000000000000000e+00,2.703751387832495823e+01,1.582264794987742751e-01
1.000000000000000000e+01,3.000000000000005329e+01,1.382624965799082450e-01
1.500000000000000000e+01,3.188122083470414836e+01,1.287752026453872767e-01
2.000000000000000000e+01,3.328708416203514275e+01,1.242080940817397866e-01
2.500000000000000000e+01,3.442011016688947223e+01,1.173677768385526510e-01
3.000000000000000000e+01,3.537442937044102820e+01,1.150751149661944223e-01
3.500000000000000000e+01,3.620190808367671309e+01,1.137372252005790924e-01
4.000000000000000000e+01,3.693433240034746490e+01,1.138013419746366633e-01
4.500000000000000000e+01,3.759266648868916860e+01,1.126178595586624087e-01
5.000000000000000000e+01,3.819150346639270310e+01,1.119339287017153545e-01
5.500000000000000000e+01,3.874143098591724765e+01,1.073747716238203642e-01
6.000000000000000000e+01,3.925038692126157969e+01,1.037553785306066512e-01
5.000000000000000000e+00,2.703751387832488007e+01,1.562128104185825095e-01
1.000000000000000000e+01,3.000000000000007105e+01,1.387337774081836839e-01
1.500000000000000000e+01,3.188122083470419810e+01,1.292838347846754221e-01
2.000000000000000000e+01,3.328708416203537013e+01,1.210245617668835316e-01
2.500000000000000000e+01,3.442011016688942959e+01,1.149465163254301259e-01
3.000000000000000000e+01,3.537442937044089319e+01,1.128556543762147119e-01
3.500000000000000000e+01,3.620190808367684099e+01,1.130836092022449307e-01
4.000000000000000000e+01,3.693433240034751464e+01,1.116290968960905045e-01
4.500000000000000000e+01,3.759266648868893412e+01,1.097744436822579855e-01
5.000000000000000000e+01,3.819150346639274574e+01,1.120192958438627345e-01
5.500000000000000000e+01,3.874143098591707002e+01,1.100126965350574082e-01
6.000000000000000000e+01,3.925038692126155837e+01,1.065446961511082868e-01
5.000000000000000000e+00,2.703751387832488362e+01,1.576339584860518006e-01
1.000000000000000000e+01,3.000000000000013145e+01,1.406480321596690064e-01
1.500000000000000000e+01,3.188122083470404178e+01,1.283310567504214461e-01
2.000000000000000000e+01,3.328708416203537723e+01,1.221793117687275804e-01
2.500000000000000000e+01,3.442011016688957170e+01,1.154522579473458987e-01
3.000000000000000000e+01,3.537442937044099267e+01,1.142465388209203819e-01
3.500000000000000000e+01,3.620190808367668467e+01,1.126449560913290460e-01
4.000000000000000000e+01,3.693433240034745779e+01,1.119257757017021321e-01
4.500000000000000000e+01,3.759266648868904070e+01,1.099976725379789855e-01
5.000000000000000000e+01,3.819150346639286653e+01,1.082125179960527761e-01
5.500000000000000000e+01,3.874143098591719081e+01,1.088486890971999271e-01
6.000000000000000000e+01,3.925038692126143047e+01,1.064802844831177070e-01
5.000000000000000000e+00,2.703751387832490138e+01,1.562041204831147445e-01
1.000000000000000000e+01,2.999999999999988987e+01,1.390830338054357684e-01
1.500000000000000000e+01,3.188122083470408796e+01,1.329436211232766230e-01
2.000000000000000000e+01,3.328708416203543408e+01,1.234572321348257756e-01
2.500000000000000000e+01,3.442011016688954328e+01,1.198659079498037017e-01
3.000000000000000000e+01,3.537442937044101399e+01,1.138456454599157813e-01
3.500000000000000000e+01,3.620190808367662783e+01,1.137807465093035597e-01
4.000000000000000000e+01,3.693433240034757148e+01,1.128776191641779891e-01
4.500000000000000000e+01,3.759266648868922545e+01,1.112991604272133978e-01
5.000000000000000000e+01,3.819150346639265337e+01,1.098758486799697176e-01
5.500000000000000000e+01,3.874143098591717660e+01,1.099586015710617842e-01
6.000000000000000000e+01,3.925038692126153705e+01,1.054177663197513881e-01
5.000000000000000000e+00,2.703751387832485875e+01,1.564987858831928536e-01
1.000000000000000000e+01,3.000000000000000711e+01,1.418907058069689420e-01
1.500000000000000000e+01,3.188122083470418033e+01,1.363762122361776852e-01
2.000000000000000000e+01,3.328708416203538434e+01,1.283524527812944793e-01
2.500000000000000000e+01,3.442011016688960012e+01,1.216790070848955824e-01
3.000000000000000000e+01,3.537442937044104241e+01,1.173241648008861715e-01
3.500000000000000000e+01,3.620190808367662783e+01,1.123311650368716691e-01
4.000000000000000000e+01,3.693433240034756437e+01,1.119823263889627996e-01
4.500000000000000000e+01,3.759266648868906913e+01,1.098296544559023841e-01
5.000000000000000000e+01,3.819150346639275995e+01,1.091067435227249527e-01
5.500000000000000000e+01,3.874143098591699186e+01,1.097176857288774260e-01
6.000000000000000000e+01,3.925038692126140205e+01,1.087072687136785287e-01
5.000000000000000000e+00,2.703751387832489783e+01,1.549805351924744001e-01
1.000000000000000000e+01,3.000000000000008171e+01,1.431203228043016751e-01
1.500000000000000000e+01,3.188122083470412349e+01,1.353126619470219616e-01
2.000000000000000000e+01,3.328708416203541987e+01,1.281387854775815627e-01
2.500000000000000000e+01,3.442011016688939407e+01,1.219939824888593982e-01
3.000000000000000000e+01,3.537442937044105662e+01,1.186002214192190540e-01
3.500000000000000000e+01,3.620190808367669888e+01,1.155277206071482071e-01
4.000000000000000000e+01,3.693433240034757858e+01,1.131662215438163088e-01
4.500000000000000000e+01,3.759266648868895544e+01,1.106709628647917776e-01
5.000000000000000000e+01,3.819150346639263915e+01,1.114465371787231041e-01
5.500000000000000000e+01,3.874143098591702739e+01,1.101600973315491477e-01
6.000000000000000000e+01,3.925038692126134521e+01,1.101812265854622414e-01
